id,time,creative_id,spend,program,duration,network_code,is_dual_feed,rotation,rotation_days,rotation_start,rotation_end,feed
412528,2017-10-16 22:48:01-07:00,b6cc05016845138a72f2fa2e4f1f1a56,30.599999999999998,"WALKER, TEXAS RANGER",14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,2.0
412528,2017-10-16 19:48:01-07:00,b6cc05016845138a72f2fa2e4f1f1a56,139.4,"WALKER, TEXAS RANGER",14.0,GRIT,True,Everyday Prime,"{1,2,3,4,5,6,7}",18:00:00,00:00:00,1.0
412676,2017-10-16 20:09:44-07:00,f3483f810d44cef79d90a66ab2da1bf0,34.85,2016-17 NBA CHAMPIONS: GOLDEN STATE,14.0,NBAT,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,1.0
412676,2017-10-16 23:09:44-07:00,f3483f810d44cef79d90a66ab2da1bf0,7.6499999999999995,2016-17 NBA CHAMPIONS: GOLDEN STATE,14.0,NBAT,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,2.0
412677,2017-10-16 23:19:17-07:00,eff6a8d032a8ca3ae098381569a9c15f,7.6499999999999995,2016-17 NBA CHAMPIONS: GOLDEN STATE,14.0,NBAT,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,2.0
412677,2017-10-16 20:19:17-07:00,eff6a8d032a8ca3ae098381569a9c15f,34.85,2016-17 NBA CHAMPIONS: GOLDEN STATE,14.0,NBAT,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,1.0
412678,2017-10-16 23:32:08-07:00,5992d996de2f11faa3492960a58de350,7.6499999999999995,2016-17 NBA CHAMPIONS: GOLDEN STATE,14.0,NBAT,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,2.0
412678,2017-10-16 20:32:08-07:00,5992d996de2f11faa3492960a58de350,34.85,2016-17 NBA CHAMPIONS: GOLDEN STATE,14.0,NBAT,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,1.0
412679,2017-10-16 20:42:05-07:00,b6cc05016845138a72f2fa2e4f1f1a56,34.85,2016-17 NBA CHAMPIONS: GOLDEN STATE,15.0,NBAT,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,1.0
412679,2017-10-16 23:42:05-07:00,b6cc05016845138a72f2fa2e4f1f1a56,7.6499999999999995,2016-17 NBA CHAMPIONS: GOLDEN STATE,15.0,NBAT,True,Everyday Prime,"{1,2,3,4,5,6,7}",19:00:00,00:00:00,2.0
412739,2017-10-17 07:26:06-07:00,eff6a8d032a8ca3ae098381569a9c15f,15.299999999999999,>>>> Show Information Not Available <<<<,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
412739,2017-10-17 04:26:06-07:00,eff6a8d032a8ca3ae098381569a9c15f,69.7,>>>> Show Information Not Available <<<<,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
412755,2017-10-17 08:26:08-07:00,5992d996de2f11faa3492960a58de350,15.299999999999999,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
412755,2017-10-17 05:26:08-07:00,5992d996de2f11faa3492960a58de350,69.7,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
412760,2017-10-17 09:36:05-07:00,b6cc05016845138a72f2fa2e4f1f1a56,15.299999999999999,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
412760,2017-10-17 06:36:05-07:00,b6cc05016845138a72f2fa2e4f1f1a56,69.7,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
412761,2017-10-17 06:10:26-07:00,5992d996de2f11faa3492960a58de350,111.52,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
412761,2017-10-17 09:10:26-07:00,5992d996de2f11faa3492960a58de350,24.48,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
412762,2017-10-17 09:27:39-07:00,b6cc05016845138a72f2fa2e4f1f1a56,24.48,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
412762,2017-10-17 06:27:39-07:00,b6cc05016845138a72f2fa2e4f1f1a56,111.52,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
412763,2017-10-17 06:53:20-07:00,f3483f810d44cef79d90a66ab2da1bf0,111.52,BITCHIN' RIDES,17.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
412763,2017-10-17 09:53:20-07:00,f3483f810d44cef79d90a66ab2da1bf0,24.48,BITCHIN' RIDES,17.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
412775,2017-10-17 07:15:11-07:00,f3483f810d44cef79d90a66ab2da1bf0,69.7,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
412775,2017-10-17 10:15:11-07:00,f3483f810d44cef79d90a66ab2da1bf0,15.299999999999999,RAISING HOPE,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
412776,2017-10-17 07:10:29-07:00,eff6a8d032a8ca3ae098381569a9c15f,111.52,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
412776,2017-10-17 10:10:29-07:00,eff6a8d032a8ca3ae098381569a9c15f,24.48,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
412777,2017-10-17 10:30:10-07:00,5992d996de2f11faa3492960a58de350,24.48,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
412777,2017-10-17 07:30:10-07:00,5992d996de2f11faa3492960a58de350,111.52,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
412778,2017-10-17 10:51:08-07:00,b6cc05016845138a72f2fa2e4f1f1a56,24.48,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
412778,2017-10-17 07:51:08-07:00,b6cc05016845138a72f2fa2e4f1f1a56,111.52,BITCHIN' RIDES,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
413658,2017-10-17 11:47:22-07:00,eff6a8d032a8ca3ae098381569a9c15f,15.299999999999999,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,2.0
413658,2017-10-17 08:47:22-07:00,eff6a8d032a8ca3ae098381569a9c15f,69.7,PARKS AND RECREATION,14.0,FXX,True,Weekday Day,"{1,2,3,4,5}",07:00:00,15:00:00,1.0
413659,2017-10-17 08:10:31-07:00,f3483f810d44cef79d90a66ab2da1bf0,111.52,WHAT'S MY CAR WORTH?,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
413659,2017-10-17 11:10:31-07:00,f3483f810d44cef79d90a66ab2da1bf0,24.48,WHAT'S MY CAR WORTH?,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,2.0
413660,2017-10-17 08:39:13-07:00,eff6a8d032a8ca3ae098381569a9c15f,111.52,WHAT'S MY CAR WORTH?,14.0,VEL,True,Weekday Day,"{1,2,3,4,5}",09:00:00,16:00:00,1.0
